passengerCount,timeStamp
2,2016-09-10-18-5
0,2016-09-10-18-5
2,2016-09-10-18-5
1,2016-09-10-18-5
4,2016-09-10-18-5
2,2016-09-10-19-0
2,2016-09-10-19-0
1,2016-09-10-19-0
1,2016-09-10-19-0
3,2016-09-10-19-0
2,2016-09-10-19-0
3,2016-09-10-19-0
1,2016-09-10-19-0
2,2016-09-10-19-0
2,2016-09-10-19-0
3,2016-09-10-19-1
4,2016-09-10-19-1
2,2016-09-10-19-1
4,2016-09-10-19-1
6,2016-09-10-19-1
5,2016-09-10-19-1
4,2016-09-10-19-1
4,2016-09-10-19-1
4,2016-09-10-19-1
2,2016-09-10-19-1
3,2016-09-10-19-2
2,2016-09-10-19-2
3,2016-09-10-19-2
2,2016-09-10-19-2
6,2016-09-10-19-2
4,2016-09-10-19-2
5,2016-09-10-19-2
2,2016-09-10-19-2
4,2016-09-10-19-2
2,2016-09-10-19-2
4,2016-09-10-19-3
3,2016-09-10-19-3
2,2016-09-10-19-3
2,2016-09-10-19-3
2,2016-09-10-19-3
3,2016-09-10-19-3
3,2016-09-10-19-3
2,2016-09-10-19-3
2,2016-09-10-19-3
3,2016-09-10-19-3
4,2016-09-10-19-4
2,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
3,2016-09-10-19-4
2,2016-09-10-19-5
1,2016-09-10-19-5
1,2016-09-10-19-5
2,2016-09-10-19-5
1,2016-09-10-19-5
1,2016-09-10-19-5
2,2016-09-10-19-5
2,2016-09-10-19-5
2,2016-09-10-19-5
1,2016-09-10-19-5
0,2016-09-10-20-0
0,2016-09-10-20-0
1,2016-09-10-20-0
1,2016-09-10-20-0
2,2016-09-10-20-0
2,2016-09-10-20-0
0,2016-09-10-20-0
2,2016-09-10-20-0
2,2016-09-10-20-0
1,2016-09-10-20-0
2,2016-09-10-20-1
1,2016-09-10-20-1
2,2016-09-10-20-1
1,2016-09-10-20-1
2,2016-09-10-20-1
0,2016-09-10-20-1
2,2016-09-10-20-1
3,2016-09-10-20-1
3,2016-09-10-20-1
2,2016-09-10-20-1
3,2016-09-10-20-2
3,2016-09-10-20-2
4,2016-09-10-20-2
2,2016-09-10-20-2
1,2016-09-10-20-2
0,2016-09-10-20-2
2,2016-09-10-20-2
2,2016-09-10-20-2
4,2016-09-10-20-2
7,2016-09-10-20-2
5,2016-09-10-20-3
4,2016-09-10-20-3
4,2016-09-10-20-3
3,2016-09-10-20-3
3,2016-09-10-20-3
3,2016-09-10-20-3
3,2016-09-10-20-3
3,2016-09-10-20-3
4,2016-09-10-20-3
5,2016-09-10-20-3
3,2016-09-10-20-4
4,2016-09-10-20-4
4,2016-09-10-20-4
4,2016-09-10-20-4
3,2016-09-10-20-4
3,2016-09-10-20-4
2,2016-09-10-20-4
1,2016-09-10-20-4
4,2016-09-10-20-4
2,2016-09-10-20-4
1,2016-09-10-20-5
2,2016-09-10-20-5
2,2016-09-10-20-5
2,2016-09-10-20-5
2,2016-09-10-20-5
3,2016-09-10-20-5
4,2016-09-10-20-5
4,2016-09-10-20-5
3,2016-09-10-20-5
3,2016-09-10-20-5
3,2016-09-10-21-0
4,2016-09-10-21-0
5,2016-09-10-21-0
5,2016-09-10-21-0
3,2016-09-10-21-0
4,2016-09-10-21-0
4,2016-09-10-21-0
4,2016-09-10-21-0
4,2016-09-10-21-0
5,2016-09-10-21-0
3,2016-09-10-21-1
3,2016-09-10-21-1
5,2016-09-10-21-1
2,2016-09-10-21-1
3,2016-09-10-21-1
6,2016-09-10-21-1
6,2016-09-10-21-1
7,2016-09-10-21-1
6,2016-09-10-21-1
5,2016-09-10-21-1
4,2016-09-10-21-2
4,2016-09-10-21-2
3,2016-09-10-21-2
7,2016-09-10-21-2
6,2016-09-10-21-2
6,2016-09-10-21-2
8,2016-09-10-21-2
7,2016-09-10-21-2
9,2016-09-10-21-2
9,2016-09-10-21-2
7,2016-09-10-21-3
3,2016-09-10-21-3
3,2016-09-10-21-3
2,2016-09-10-21-3
3,2016-09-10-21-3
3,2016-09-10-21-3
4,2016-09-10-21-3
4,2016-09-10-21-3
3,2016-09-10-21-3
2,2016-09-10-21-3
1,2016-09-10-21-4
1,2016-09-10-21-4
2,2016-09-10-21-4
2,2016-09-10-21-4
4,2016-09-10-21-4
4,2016-09-10-21-4
5,2016-09-10-21-4
2,2016-09-10-21-4
3,2016-09-10-21-4
2,2016-09-10-21-4
3,2016-09-10-21-5
2,2016-09-10-21-5
2,2016-09-10-21-5
4,2016-09-10-21-5
4,2016-09-10-21-5
3,2016-09-10-21-5
4,2016-09-10-21-5
5,2016-09-10-21-5
3,2016-09-10-21-5
5,2016-09-10-21-5
7,2016-09-10-22-0
6,2016-09-10-22-0
6,2016-09-10-22-0
3,2016-09-10-22-0
4,2016-09-10-22-0
2,2016-09-10-22-0
3,2016-09-10-22-0
2,2016-09-10-22-0
3,2016-09-10-22-0
3,2016-09-10-22-0
3,2016-09-10-22-1
3,2016-09-10-22-1
2,2016-09-10-22-1
1,2016-09-10-22-1
2,2016-09-10-22-1
1,2016-09-10-22-1
2,2016-09-10-22-1
1,2016-09-10-22-1
2,2016-09-10-22-1
1,2016-09-10-22-1
1,2016-09-10-22-2
1,2016-09-10-22-2
0,2016-09-10-22-2
1,2016-09-10-22-2
2,2016-09-10-22-2
1,2016-09-10-22-2
2,2016-09-10-22-2
3,2016-09-10-22-2
2,2016-09-10-22-2
1,2016-09-10-22-2
2,2016-09-10-22-3
4,2016-09-10-22-3
5,2016-09-10-22-3
5,2016-09-10-22-3
6,2016-09-10-22-3
6,2016-09-10-22-3
6,2016-09-10-22-3
4,2016-09-10-22-3
2,2016-09-10-22-3
3,2016-09-10-22-3
4,2016-09-10-22-4
3,2016-09-10-22-4
4,2016-09-10-22-4
3,2016-09-10-22-4
4,2016-09-10-22-4
3,2016-09-10-22-4
1,2016-09-10-22-4
1,2016-09-10-22-4
2,2016-09-10-22-4
4,2016-09-10-22-4
2,2016-09-10-22-5
2,2016-09-10-22-5
2,2016-09-10-22-5
3,2016-09-10-22-5
2,2016-09-10-22-5
3,2016-09-10-22-5
3,2016-09-10-22-5
2,2016-09-10-22-5
4,2016-09-10-22-5
2,2016-09-10-22-5
2,2016-09-10-23-0
3,2016-09-10-23-0
3,2016-09-10-23-0
1,2016-09-10-23-0
2,2016-09-10-23-0
3,2016-09-10-23-0
3,2016-09-10-23-0
4,2016-09-10-23-0
3,2016-09-10-23-0
3,2016-09-10-23-0
3,2016-09-10-23-1
5,2016-09-10-23-1
2,2016-09-10-23-1
3,2016-09-10-23-1
1,2016-09-10-23-1
1,2016-09-10-23-1
1,2016-09-10-23-1
1,2016-09-10-23-1
2,2016-09-10-23-1
1,2016-09-10-23-1
1,2016-09-10-23-2
1,2016-09-10-23-2
0,2016-09-10-23-2
0,2016-09-10-23-2
2,2016-09-10-23-2
2,2016-09-10-23-2
1,2016-09-10-23-2
2,2016-09-10-23-2
1,2016-09-10-23-2
1,2016-09-10-23-2
2,2016-09-10-23-3
1,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-3
1,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-3
0,2016-09-10-23-4
2,2016-09-10-23-4
1,2016-09-10-23-4
1,2016-09-10-23-4
1,2016-09-10-23-4
0,2016-09-10-23-4
0,2016-09-10-23-4
1,2016-09-10-23-4
1,2016-09-10-23-4
3,2016-09-10-23-4
1,2016-09-10-23-5
2,2016-09-10-23-5
1,2016-09-10-23-5
2,2016-09-10-23-5
1,2016-09-10-23-5
1,2016-09-10-23-5
1,2016-09-10-23-5
1,2016-09-10-23-5
1,2016-09-10-23-5
1,2016-09-10-23-5
2,2016-09-11-00-0
3,2016-09-11-00-0
2,2016-09-11-00-0
4,2016-09-11-00-0
3,2016-09-11-00-0
3,2016-09-11-00-0
2,2016-09-11-00-0
3,2016-09-11-00-0
2,2016-09-11-00-0
2,2016-09-11-00-0
4,2016-09-11-00-1
3,2016-09-11-00-1
3,2016-09-11-00-1
4,2016-09-11-00-1
3,2016-09-11-00-1
3,2016-09-11-00-1
3,2016-09-11-00-1
3,2016-09-11-00-1
2,2016-09-11-00-1
3,2016-09-11-00-1
2,2016-09-11-00-2
2,2016-09-11-00-2
4,2016-09-11-00-2
4,2016-09-11-00-2
6,2016-09-11-00-2
4,2016-09-11-00-2
5,2016-09-11-00-2
4,2016-09-11-00-2
4,2016-09-11-00-2
3,2016-09-11-00-2
3,2016-09-11-00-3
5,2016-09-11-00-3
4,2016-09-11-00-3
4,2016-09-11-00-3
3,2016-09-11-00-3
3,2016-09-11-00-3
1,2016-09-11-00-3
1,2016-09-11-00-3
1,2016-09-11-00-3
1,2016-09-11-00-3
2,2016-09-11-00-4
2,2016-09-11-00-4
2,2016-09-11-00-4
2,2016-09-11-00-4
2,2016-09-11-00-4
1,2016-09-11-00-4
0,2016-09-11-00-4
0,2016-09-11-00-4
0,2016-09-11-00-4
0,2016-09-11-00-4
0,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-00-5
1,2016-09-11-00-5
1,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-00-5
0,2016-09-11-01-0
2,2016-09-11-01-0
2,2016-09-11-01-0
2,2016-09-11-01-0
2,2016-09-11-01-0
0,2016-09-11-01-0
0,2016-09-11-01-0
0,2016-09-11-01-0
0,2016-09-11-01-0
0,2016-09-11-01-0
0,2016-09-11-01-1
0,2016-09-11-01-1
0,2016-09-11-01-1
1,2016-09-11-01-1
2,2016-09-11-01-1
1,2016-09-11-01-1
1,2016-09-11-01-1
1,2016-09-11-01-1
1,2016-09-11-01-1
1,2016-09-11-01-1
1,2016-09-11-01-2
1,2016-09-11-01-2
0,2016-09-11-01-2
0,2016-09-11-01-2
0,2016-09-11-01-2
1,2016-09-11-01-2
1,2016-09-11-01-2
1,2016-09-11-01-2
1,2016-09-11-01-2
1,2016-09-11-01-2
1,2016-09-11-01-3
1,2016-09-11-01-3
1,2016-09-11-01-3
1,2016-09-11-01-3
1,2016-09-11-01-3
1,2016-09-11-01-3
1,2016-09-11-01-3
3,2016-09-11-01-3
2,2016-09-11-01-3
3,2016-09-11-01-3
2,2016-09-11-01-4
2,2016-09-11-01-4
2,2016-09-11-01-4
4,2016-09-11-01-4
1,2016-09-11-01-4
1,2016-09-11-01-4
2,2016-09-11-01-4
1,2016-09-11-01-4
1,2016-09-11-01-4
1,2016-09-11-01-4
1,2016-09-11-01-5
1,2016-09-11-01-5
3,2016-09-11-01-5
2,2016-09-11-01-5
2,2016-09-11-01-5
2,2016-09-11-01-5
2,2016-09-11-01-5
2,2016-09-11-01-5
3,2016-09-11-01-5
2,2016-09-11-01-5
3,2016-09-11-02-0
1,2016-09-11-02-0
1,2016-09-11-02-0
1,2016-09-11-02-0
1,2016-09-11-02-0
2,2016-09-11-02-0
3,2016-09-11-02-0
3,2016-09-11-02-0
3,2016-09-11-02-0
4,2016-09-11-02-0
3,2016-09-11-02-1
3,2016-09-11-02-1
4,2016-09-11-02-1
3,2016-09-11-02-1
3,2016-09-11-02-1
2,2016-09-11-02-1
2,2016-09-11-02-1
1,2016-09-11-02-1
1,2016-09-11-02-1
1,2016-09-11-02-1
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-2
1,2016-09-11-02-3
1,2016-09-11-02-3
1,2016-09-11-02-3
1,2016-09-11-02-3
0,2016-09-11-02-3
1,2016-09-11-02-3
0,2016-09-11-02-3
1,2016-09-11-02-3
0,2016-09-11-02-3
0,2016-09-11-02-3
0,2016-09-11-02-4
0,2016-09-11-02-4
1,2016-09-11-02-4
1,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-4
0,2016-09-11-02-5
0,2016-09-11-02-5
1,2016-09-11-02-5
0,2016-09-11-02-5
0,2016-09-11-02-5
0,2016-09-11-02-5
0,2016-09-11-02-5
0,2016-09-11-02-5
1,2016-09-11-02-5
1,2016-09-11-02-5
1,2016-09-11-03-0
2,2016-09-11-03-0
1,2016-09-11-03-0
